VERTICES 50
4.3943722230209445	15.415607000180948
17.65501201136214	4.661809724765199
3.137045515271147	13.337239648000661
3.6398978930792616	15.30652917834147
2.831683271805506	17.797302157912107
11.799615509145909	15.301677988165913
7.6502824793218736	14.68243402486869
5.850924653179032	14.124321420234928
2.749225551085395	2.4536205269191314
13.317970761097591	17.008525955923346
4.028383207775153	5.898281526642684
13.188951911300386	5.10273213680032
12.745490675036805	19.90432308052781
7.045280669022013	13.704550941256372
0.46084258733250394	4.929741395109378
16.275769878861638	3.583067645129031
6.627873728171984	12.491532259986492
19.33537361595556	9.438480861806102
18.814720102970497	8.066261598025758
5.394173233898467	7.020466340437569
13.840912222921652	18.12291946498884
8.439494274953333	17.768388246369916
2.4368241944698887	5.659011569551584
14.028726939564947	10.859282489891914
3.2020089019407685	11.337342536491395
10.70569551093324	1.3495629566041636
9.013657418411178	17.988425269932364
7.434903392962923	11.794328086901636
19.6475619683211	1.1168830994492254
0.06405912690260607	9.826759094421963
13.152931042281203	7.243157714825323
0.6616576159146916	16.617793609102158
17.104142238330063	7.508173287041338
0.44637177849999077	1.3139669287966704
17.15854190744257	1.1600027177548284
18.292094953443318	1.358208370831285
11.787883403516055	6.1683783470068505
14.234777421659665	3.1788801174124757
14.436386951857699	19.06625123270603
0.4676302078050618	14.441422985661674
13.768388273135812	7.555987806932162
9.887436721987726	12.713139943520687
8.29758910712198	11.705391486077769
1.354738217316637	9.044708706941243
2.3900594713659693	10.477968916913394
7.478945153030004	17.52453104814915
3.3342016584454015	10.98872651590262
11.071557799850886	19.313927780343974
5.169278678486172	4.645089329289025
7.28703457104341	14.142491386639158
TRIANGLES 89
1	4	5
1	3	4
1	3	8
1	8	46
1	5	46
2	16	33
2	16	36
2	29	36
2	19	29
2	19	33
3	40	45
3	25	45
3	17	25
3	8	17
3	4	40
4	5	32
4	32	40
5	46	48
5	13	48
6	27	48
6	7	27
6	7	42
6	24	42
6	10	24
6	10	48
7	8	46
7	8	50
7	42	50
7	22	27
7	22	46
8	14	17
8	14	50
9	23	49
9	15	23
9	15	34
9	26	34
9	26	49
10	18	24
10	18	21
10	21	48
11	23	44
11	23	49
11	20	49
11	20	44
12	31	41
12	31	37
12	26	37
12	26	38
12	16	38
12	16	33
12	33	41
13	21	48
13	21	39
14	17	28
14	28	43
14	42	43
14	42	50
15	30	34
15	23	44
15	30	44
16	35	38
16	35	36
17	25	47
17	28	47
18	21	39
18	24	33
18	19	33
18	19	29
20	45	47
20	44	45
20	37	49
20	37	43
20	28	43
20	28	47
22	27	46
24	31	42
24	31	41
24	33	41
25	45	47
26	34	35
26	35	38
26	37	49
27	46	48
29	35	36
29	34	35
30	44	45
30	40	45
31	42	43
31	37	43
